"SETTINGS_MIDVEHFIXEDOFFSET","Décalage fixe de la caméra pour le milieu du véhicule",""
"SETTINGS_PEDSTRIANFIXEDOFFSET","Décalage fixe de la caméra pour les piétons",""
"SETTINGS_PERIODWALK","Période pour chaque cible aléatoire",""
"SETTINGS_MANUALSWITCHWALK","Changement manuel de cible (Clic secondaire)",""
"SETTINGS_MANUALSWITCHWALK_DETAIL","Utilisez le clic secondaire de la souris pour changer de cible de suivi à la place.",""
"SETTINGS_SELECTPEDESTRIAN","Piétons marchant",""
"SETTINGS_SELECTPASSENGER","Piétons dans les transports en commun",""
"SETTINGS_SELECTWAITING","Piétons attendant les transports en commun",""
"SETTINGS_SELECTDRIVING","Citoyens conduisant/se déplaçant",""
"SETTINGS_SELECTPUBLICTRANSIT","Véhicules de transport en commun",""
"SETTINGS_SELECTSERVICE","Véhicules de service",""
"SETTINGS_SELECTCARGO","Véhicules de fret",""
"SETTINGS_SELECTOUTSIDE","Cibles hors des limites",""
"SETTINGS_KEYCAMTOGGLE","Mode caméra libre",""
"SETTINGS_KEYWALKTHRUTOGGLE","Mode traversée à pied",""
"SETTINGS_KEYTOGGLE_DETAIL","Passez à ce mode lorsqu'il est pressé. Si déjà actif, désactive la caméra FPS.",""
"SETTINGS_KEYFOLLOWTOGGLE","Mode Suivi : Basculer Vanilla/Mod",""
"SETTINGS_KEYFOLLOWTOGGLE_DETAIL","Basculer entre la vue de suivi vanilla et le mode de suivi du mod",""
"SETTINGS_KEYINFOPANELTOGGLE","Basculer le panneau d'information",""
"SETTINGS_KEYSPPEDUP","Accélérer le déplacement/décalage",""
"SETTINGS_KEYCAMRESET","Réinitialiser le décalage et la rotation de la caméra",""
"SETTINGS_KEYCURSORTOGGLE","Basculer la visibilité du curseur",""
"SETTINGS_KEYAUTOMOVE","Basculer le déplacement automatique en mode caméra libre",""
"SETTINGS_KEYAUTOMOVE_DETAIL","La caméra avance automatiquement lorsque cette option est activée.",""
"SETTINGS_KEYSAVEFOFFSET","Enregistrer le paramètre de type",""
"SETTINGS_KEYSAVEFOFFSET_DETAIL","En mode Suivi/Traversée à pied, enregistre les paramètres actuels de décalage et de rotation de la caméra
comme paramètre de type pour la cible suivie",""
"SETTINGS_KEYMOVEFORWARD","Déplacer/Se décaler vers l'avant",""
"SETTINGS_KEYMOVEBACKWARD","Déplacer/Se décaler vers l'arrière",""
