"SETTINGS_GROUNDLEVELOFFSET","Offset livello del suolo",""
"SETTINGS_GROUNDLEVELOFFFSET_DETAIL","Offset verticale per il livello del suolo per l'opzione di adesione al suolo",""
"SETTINGS_ROADLEVELOFFSET","Offset livello della strada",""
"SETTINGS_ROADLEVELOFFSET_DETAIL","Offset verticale per il livello della strada per l'opzione di adesione al suolo",""
"SETTINGS_TARGETSTOFOLLOW","Obiettivi da seguire:",""
"SETTINGS_SHOWCURSORFOLLOW","Mostra cursore in modalità Segui/Passeggiata",""
"SETTINGS_STICKTOFRONTVEHICLE","Segui sempre il veicolo anteriore",""
"SETTINGS_OFFSETMOVEMENTSPEED","Velocità di movimento offset",""
"SETTINGS_FOLLOWCAMOFFSET","Offset fotocamera universale modalità Segui",""
"SETTINGS_VEHICLEFIXEDOFFERT","Offset fisso fotocamera per veicolo",""
"SETTINGS_MIDVEHFIXEDOFFSET","Offset fisso fotocamera per veicolo al centro",""
"SETTINGS_PEDSTRIANFIXEDOFFSET","Offset fisso fotocamera per pedone",""
"SETTINGS_PERIODWALK","Periodo per ogni obiettivo casuale",""
"SETTINGS_MANUALSWITCHWALK","Cambio manuale obiettivo (Click Secondario)",""
"SETTINGS_MANUALSWITCHWALK_DETAIL","Usa il clic secondario del mouse per cambiare i bersagli seguiti.",""
"SETTINGS_SELECTPEDESTRIAN","Pedoni in cammino",""
"SETTINGS_SELECTPASSENGER","Pedoni sui trasporti pubblici",""
"SETTINGS_SELECTWAITING","Pedoni in attesa dei trasporti pubblici",""
"SETTINGS_SELECTDRIVING","Cittadini alla guida/su un veicolo",""
"SETTINGS_SELECTPUBLICTRANSIT","Veicoli di trasporto pubblico",""
"SETTINGS_SELECTSERVICE","Veicoli di servizio",""
"SETTINGS_SELECTCARGO","Veicoli merci",""
"SETTINGS_SELECTOUTSIDE","Obiettivi fuori dal confine",""
"SETTINGS_KEYCAMTOGGLE","Modalità Fotocamera libera",""
"SETTINGS_KEYWALKTHRUTOGGLE","Modalità Attraversamento",""
"SETTINGS_KEYTOGGLE_DETAIL","Passa a questa modalità quando premuto. Se già attiva, disabilita la Fotocamera FPS",""
"SETTINGS_KEYFOLLOWTOGGLE","Modalità Segui: Attiva/Disattiva Vanilla/Mod",""
"SETTINGS_KEYFOLLOWTOGGLE_DETAIL","Passa tra la visuale di seguito vanilla e la modalità di seguito della mod",""
"SETTINGS_KEYINFOPANELTOGGLE","Attiva/Disattiva pannello informazioni",""
"SETTINGS_KEYSPPEDUP","Accelera movimento/spostamento",""
"SETTINGS_KEYCAMRESET","Reimposta spostamento e rotazione della fotocamera",""
"SETTINGS_KEYCURSORTOGGLE","Attiva/Disattiva visibilità cursore",""
"SETTINGS_KEYAUTOMOVE","Attiva/Disattiva movimento automatico in modalità Fotocamera libera",""
"SETTINGS_KEYAUTOMOVE_DETAIL","La fotocamera si muove in avanti automaticamente quando è attivata.",""
"SETTINGS_KEYSAVEFOFFSET","Salva impostazione tipo",""
"SETTINGS_KEYSAVEFOFFSET_DETAIL","In modalità Segui/Attraversamento, salva le impostazioni correnti di spostamento e rotazione della fotocamera
come impostazione tipo per il bersaglio seguito",""
"SETTINGS_KEYMOVEFORWARD","Muovi/Sposta in avanti",""
"SETTINGS_KEYMOVEBACKWARD","Muovi/Sposta indietro",""
"SETTINGS_KEYMOVELEFT","Muovi/Sposta a sinistra",""
"SETTINGS_KEYMOVERIFHT","Muovi/Sposta a destra",""
"SETTINGS_KEYMOVEUP","Muovi/Sposta in alto",""
"SETTINGS_KEYMOVEDOWN","Muovi/Sposta in basso",""
"SETTINGS_KEYROTATELEFT","Ruota/Guarda a sinistra",""
"SETTINGS_KEYROTATERIGHT","Ruota/Guarda a destra",""
"SETTINGS_KEYROTATEUP","Ruota/Guarda in alto",""
"SETTINGS_KEYROTATEDOWN","Ruota/Guarda in basso",""
"SETTINGS_KEYUUITOGGLE","Attiva/Disattiva pannello principale (richiede la mod UUI)",""
"SETTINGS_SMOOTRANSITION","Applica transizione fluida",""
"SETTINGS_SMOOTRANSITION_DETAIL","Quando la fotocamera si muove, ruota o zoomma, la transizione può essere fluida o istantanea.
Abilitare l'opzione può far sembrare la fotocamera in ritardo.",""
